,shot,uut,chan,rms,min,max,std,first_edge,last_edge,total_edges,jog_samples,run_samples,sprint_samples
0,30,acq2106_201,1,0.9931879748763497,-1.006282773683779,1.0204930098261684,0.9931793019765911,9953,99954,9,0,100000,0
1,30,acq2106_201,2,0.44563924504664065,0.4312491067976225,0.45985387366090436,0.0010071248520367032,,,0,0,100000,0
2,30,acq2106_201,3,0.4504937094317956,0.44729988227481954,0.4536263188783778,0.00023729191978602297,,,0,0,100000,0
3,30,acq2106_201,4,0.42600099471668074,0.42458528649876826,0.4274282283731736,0.00015038510271283168,,,0,0,100000,0
4,30,acq2106_201,5,0.4345534469335379,0.43350932095199823,0.43557553878054023,0.0001429035840793292,,,0,0,100000,0
5,30,acq2106_201,6,0.39634127252780504,0.3957055023056455,0.39699578715953976,0.00014060350690150625,,,0,0,100000,0
6,30,acq2106_201,7,0.4219253079317494,0.4213491702321335,0.4225106941667036,0.00013571893445556366,,,0,0,100000,0
7,30,acq2106_201,8,0.41447176445309136,0.41380091998144053,0.41509456632775255,0.0001376731505730777,,,0,0,100000,0
8,30,acq2106_201,9,0.4504980930243597,0.449859132651909,0.45127944211344584,0.00016867831850330575,,,0,0,100000,0
9,30,acq2106_201,10,0.41391869943328735,0.4132494085097278,0.41454037221046747,0.000145715969097724,,,0,0,100000,0
10,30,acq2106_201,11,0.4139990516067612,0.4133319610955368,0.41462242508350755,0.00015154858275768162,,,0,0,100000,0
11,30,acq2106_201,12,0.5297607965080761,0.529039393295534,0.5304610574385151,0.0001495213527277958,,,0,0,100000,0
12,30,acq2106_201,13,0.45371014219303224,0.4530464820381894,0.454335971193359,0.00015315802225884052,,,0,0,100000,0
13,30,acq2106_201,14,0.4244092288680226,0.42377436697279336,0.4249328044024878,0.00015385254290310846,,,0,0,100000,0
14,30,acq2106_201,15,0.4754597921949787,0.47489009020500816,0.476179563353071,0.00015617002966167602,,,0,0,100000,0
15,30,acq2106_201,16,0.40542883438208094,0.4047098150658712,0.406131293366343,0.00017293854714340649,,,0,0,100000,0
16,30,acq2106_201,17,0.45911155194823433,0.4584259988478152,0.45971869611821603,0.00015654551002097693,,,0,0,100000,0
17,30,acq2106_201,18,0.4722958357154323,0.47156433177224244,0.47285650939375046,0.00015893785500419976,,,0,0,100000,0
18,30,acq2106_201,19,0.6057358822427219,0.6050503175465565,0.6063407076107978,0.00016231605334962986,,,0,0,100000,0
19,30,acq2106_201,20,0.49486888106659893,0.4943363005259016,0.4954991859958682,0.0001463303346211314,,,0,0,100000,0
20,30,acq2106_201,21,0.4645784145738422,0.46384254558506655,0.46539088391728,0.00016027832742907837,,,0,0,100000,0
21,30,acq2106_201,22,0.47626755033881224,0.47551325830136193,0.4769311482887133,0.00016534651026322867,,,0,0,100000,0
22,30,acq2106_201,23,0.4111581087554439,0.41035744734472246,0.4117776437960856,0.0001592118184709169,,,0,0,100000,0
23,30,acq2106_201,24,0.45990187566918833,0.459140674352966,0.4605649868717592,0.00015669496217269238,,,0,0,100000,0
24,30,acq2106_201,25,0.07000286648481335,-0.021347331025026506,0.1007917999268102,0.03305517526771082,,,0,0,100000,0
25,30,acq2106_201,26,0.46035766335405526,0.45973599898206885,0.46090111299054115,0.00014127231275276516,,,0,0,100000,0
26,30,acq2106_201,27,0.4556012791410021,0.4550194848998217,0.45618264631775673,0.0001424093894421067,,,0,0,100000,0
27,30,acq2106_201,28,0.4398855616785036,0.4392515189247206,0.4405459734844044,0.00013753005066206118,,,0,0,100000,0
28,30,acq2106_201,29,0.42080076207081146,0.420156899777794,0.42131929281094926,0.00013555259787259515,,,0,0,100000,0
29,30,acq2106_201,30,0.5132236396646905,0.5126099505323509,0.5137711860770651,0.00014788376060798842,,,0,0,100000,0
30,30,acq2106_201,31,0.4592595174938955,0.45866713803843595,0.45983089299988933,0.0001369588697584059,,,0,0,100000,0
31,30,acq2106_201,32,0.469043419517275,0.4684607210547256,0.46962590421389905,0.00014602570546814808,,,0,0,100000,0
32,30,acq2106_201,33,0.4481805351226006,0.44752066097134957,0.44881232360057766,0.00015558480269233714,,,0,0,100000,0
33,30,acq2106_201,34,0.4667850465330367,0.4661572035693098,0.4674481551919598,0.00015212489958827178,,,0,0,100000,0
34,30,acq2106_201,35,0.5659578626166455,0.565305996544339,0.5665963339306472,0.000154811610881656,,,0,0,100000,0
35,30,acq2106_201,36,0.42544424456814595,0.4247947225194366,0.4259565707288857,0.00014400561070622658,,,0,0,100000,0
36,30,acq2106_201,37,0.42678650686079495,0.4262176730662759,0.42737887691691867,0.00014848395048577785,,,0,0,100000,0
37,30,acq2106_201,38,0.47387809768598377,0.47322371225163806,0.4745115916739451,0.0001554318178141574,,,0,0,100000,0
38,30,acq2106_201,39,0.48728730861653674,0.4866340662265429,0.48792303005757276,0.00016821206611122332,,,0,0,100000,0
39,30,acq2106_201,40,0.4800144561984545,0.47928121245786315,0.480832349647244,0.00015908464652743845,,,0,0,100000,0
40,30,acq2106_201,41,0.4904762839742531,0.48984208085312275,0.4912611918625771,0.0001545284886355471,,,0,0,100000,0
41,30,acq2106_201,42,0.3986280109200704,0.39795935922302306,0.3992496414575726,0.00015135344122449264,,,0,0,100000,0
42,30,acq2106_201,43,0.4462535329875899,0.4455542030009383,0.4468426658095268,0.00014795767143318208,,,0,0,100000,0
43,30,acq2106_201,44,0.41433963089188935,0.4137739930738462,0.41493500243814196,0.00014764569479182774,,,0,0,100000,0
44,30,acq2106_201,45,0.4153297570746885,0.4147441168206569,0.4159022762069071,0.00014318473956459848,,,0,0,100000,0
45,30,acq2106_201,46,0.4573337668311854,0.45663371817136067,0.4580488989558944,0.00016776618449921839,,,0,0,100000,0
46,30,acq2106_201,47,0.5106512017827307,0.5100067958046566,0.5112944811044144,0.00016003097436452054,,,0,0,100000,0
47,30,acq2106_201,48,0.4347278676922638,0.43410087492884486,0.4355201170365035,0.00015344255182857779,,,0,0,100000,0
48,30,acq2106_203,1,0.9932361066179479,-1.0127785051590763,1.0211998872982804,0.993225606159061,9953,99954,9,0,100000,0
49,30,acq2106_203,2,0.3809137268050148,0.3646548399410676,0.3972282772010658,0.0010721516342908342,,,0,0,100000,0
50,30,acq2106_203,3,0.4159021652883955,0.41270065141725354,0.4194031415099744,0.00024262014939417092,,,0,0,100000,0
51,30,acq2106_203,4,0.3818785664702507,0.38030706375138834,0.38340506789973006,0.00015406697165832204,,,0,0,100000,0
52,30,acq2106_203,5,0.44973733936945487,0.4486340457951883,0.4509537728590658,0.00013767512180240564,,,0,0,100000,0
53,30,acq2106_203,6,0.42402754372298346,0.42318884329870343,0.42473300779238343,0.00014120131262333995,,,0,0,100000,0
54,30,acq2106_203,7,0.4881534904753286,0.48747617278422695,0.4887671661708737,0.00013958806106417965,,,0,0,100000,0
55,30,acq2106_203,8,0.3925073434108886,0.3918613196001388,0.3931536652962677,0.00013765139190869154,,,0,0,100000,0
56,30,acq2106_203,9,0.385926242765756,0.3852358919357357,0.3866577432017948,0.00014990678025044203,,,0,0,100000,0
57,30,acq2106_203,10,0.5075257695212679,0.5068407634644245,0.5081336942930648,0.00015683712423926138,,,0,0,100000,0
58,30,acq2106_203,11,0.4070853924213574,0.4065661178283335,0.4077291143585171,0.00014650680427077424,,,0,0,100000,0
59,30,acq2106_203,12,0.4120138917958593,0.4113433570964844,0.41263768796488876,0.00013502439864256422,,,0,0,100000,0
60,30,acq2106_203,13,0.3965351590108507,0.39583685497927945,0.397127673306386,0.00014584775803915806,,,0,0,100000,0
61,30,acq2106_203,14,0.44552919199185037,0.44489331724253134,0.4461832978158782,0.00015004192430046213,,,0,0,100000,0
62,30,acq2106_203,15,0.38798639049498085,0.3872916171749239,0.3885831342849997,0.00015608369091858035,,,0,0,100000,0
63,30,acq2106_203,16,0.4442695378569331,0.44296492347712046,0.44542097557496163,0.0002828875637678775,,,0,0,100000,0
64,30,acq2106_203,17,0.4432990956710925,0.4427267357787059,0.4438900853965606,0.00013421533933570732,,,0,0,100000,0
65,30,acq2106_203,18,0.4352902540025778,0.4347086455745739,0.4358724864505348,0.00013720709751640297,,,0,0,100000,0
66,30,acq2106_203,19,0.3848615535193478,0.3843362316474668,0.38549873901501996,0.00013461568352610102,,,0,0,100000,0
67,30,acq2106_203,20,0.44904644835624996,0.44859810401612776,0.4496324472820561,0.00013364562077043289,,,0,0,100000,0
68,30,acq2106_203,21,0.383907963535411,0.3832670571100607,0.38442923640468507,0.00013188474833462498,,,0,0,100000,0
69,30,acq2106_203,22,0.4084014838439293,0.40785990829681396,0.40902100161110866,0.00013488248014048034,,,0,0,100000,0
70,30,acq2106_203,23,0.4825136481319669,0.4819361762383778,0.48297005547283334,0.00013656108098626993,,,0,0,100000,0
71,30,acq2106_203,24,0.40927151555197827,0.4087115656657261,0.4097471942732227,0.00013341426107380984,,,0,0,100000,0
72,30,acq2106_203,25,0.5005976217439964,0.5000663000319037,0.5012335232677287,0.00015417870415177211,,,0,0,100000,0
73,30,acq2106_203,26,0.4109912221929064,0.4103170295675227,0.411612576830521,0.0001570115832962921,,,0,0,100000,0
74,30,acq2106_203,27,0.40590188044380104,0.4051700121490285,0.40646546788048,0.00014300954257073252,,,0,0,100000,0
75,30,acq2106_203,28,0.40345498301091376,0.4028426852055418,0.40400851193771814,0.00014213324956639022,,,0,0,100000,0
76,30,acq2106_203,29,0.42066019725372733,0.4200070615916047,0.4213008584047202,0.00014714998152936065,,,0,0,100000,0
77,30,acq2106_203,30,0.4466881329025752,0.44606807639138424,0.4473613014597504,0.0001567741438527062,,,0,0,100000,0
78,30,acq2106_203,31,0.43191736598588193,0.4313012591737788,0.43259612933616154,0.0001490478365767632,,,0,0,100000,0
79,30,acq2106_203,32,0.40487652751197456,0.4042299873835873,0.40565644469461404,0.00015105394302362529,,,0,0,100000,0
80,30,acq2106_203,33,0.4293637816817561,0.42866458515345585,0.4299577573983697,0.00014983185191593724,,,0,0,100000,0
81,30,acq2106_203,34,0.45093782326727966,0.4503886681086442,0.451554105606192,0.00015198738569813805,,,0,0,100000,0
82,30,acq2106_203,35,0.437240697069386,0.4366505987600249,0.4379419280048751,0.0001528091143074967,,,0,0,100000,0
83,30,acq2106_203,36,0.4476677284364271,0.4470988672765088,0.4483929129273747,0.00015218220453575918,,,0,0,100000,0
84,30,acq2106_203,37,0.41042507467316686,0.40978318859561114,0.41107551537425024,0.00016357905517456396,,,0,0,100000,0
85,30,acq2106_203,38,0.43805958712380694,0.43738918312010355,0.4386786120303441,0.00015105796215376523,,,0,0,100000,0
86,30,acq2106_203,39,0.45841681397418416,0.45768631459213793,0.45910816569812596,0.00015039052584475161,,,0,0,100000,0
87,30,acq2106_203,40,0.44869350041877565,0.44807318014500197,0.44923886661126744,0.00015686440566539648,,,0,0,100000,0
88,30,acq2106_203,41,0.44412860182650554,0.4435210499796085,0.44481063139392063,0.00015247664789724973,,,0,0,100000,0
89,30,acq2106_203,42,0.3773328639193847,0.3767827546107583,0.37794480699812993,0.00014683600149437395,,,0,0,100000,0
90,30,acq2106_203,43,0.40019448124557133,0.39950988407508703,0.40079779696679907,0.00014533937933132124,,,0,0,100000,0
91,30,acq2106_203,44,0.3859541299617891,0.38534624976091436,0.38650689411952044,0.00013879993319851838,,,0,0,100000,0
92,30,acq2106_203,45,0.39812344535204086,0.3974366022448521,0.39872371914680116,0.00015069093692945382,,,0,0,100000,0
93,30,acq2106_203,46,0.432041988666967,0.4313581133210391,0.4327742862260493,0.00014627390572268464,,,0,0,100000,0
94,30,acq2106_203,47,0.45909703196907714,0.4585183097915433,0.4598073081106122,0.00015179070162767155,,,0,0,100000,0
95,30,acq2106_203,48,0.41315531776173103,0.41244602518418105,0.41373649688466685,0.0001504495938668884,,,0,0,100000,0
96,30,acq2106_204,1,0.9936321425285034,-1.005432585021481,1.0170281902537681,0.9936227810322082,9953,99954,9,0,100000,0
97,30,acq2106_204,2,0.44697188188498643,0.43067430990049616,0.46332601619360503,0.0010716834747414802,,,0,0,100000,0
98,30,acq2106_204,3,0.4454229706345441,0.4418187740375288,0.4486538756027585,0.0002464432054613277,,,0,0,100000,0
99,30,acq2106_204,4,0.401962539321709,0.40041703113820404,0.4033822142519057,0.00015258448576444333,,,0,0,100000,0
100,30,acq2106_204,5,0.43277819722446004,0.43191120523260906,0.4338424079469405,0.00014290730684354136,,,0,0,100000,0
101,30,acq2106_204,6,0.44107444940873347,0.44037883839337155,0.44179547822568566,0.00014190651863025587,,,0,0,100000,0
102,30,acq2106_204,7,0.4418655992241709,0.44121534016449004,0.44250344805186614,0.00015546879704556336,,,0,0,100000,0
103,30,acq2106_204,8,0.44514313156079155,0.4444636477564927,0.44562627653067466,0.00013863409166176447,,,0,0,100000,0
104,30,acq2106_204,9,0.4450198067757067,0.4443948383704992,0.4455533656437183,0.00015013550089687871,,,0,0,100000,0
105,30,acq2106_204,10,0.3783246824653338,0.3777156879186805,0.37887354503254755,0.0001471141386780302,,,0,0,100000,0
